                                  Best
Generation      Func-count     Penalty
    1              240       8.907e+04
    2              360       8.907e+04
    3              480       8.907e+04
    4              600       8.907e+04
    5              720       8.907e+04
    6              840       8.897e+04
    7              960       8.897e+04
    8             1080       8.884e+04
    9             1200       8.871e+04 
   10             1320       8.454e+04
   11             1440       8.225e+04
   12             1560       7.998e+04
   13             1680       7.94e+04
   14             1800       7.917e+04 
   15             1920       7.717e+04
   16             2040       7.669e+04
   17             2160       7.631e+04
   18             2280       7.631e+04
   19             2400       7.631e+04
   20             2520       7.631e+04
   21             2640       7.631e+04
   22             2760       7.631e+04
   23             2880       7.631e+04
   24             3000       7.631e+04
   25             3120       7.629e+04
   26             3240       7.627e+04
   27             3360       7.627e+04
   28             3480       7.626e+04
   29             3600       7.626e+04
   30             3720       7.626e+04
   31             3840       7.626e+04
   32             3960       7.626e+04
   33             4080       7.626e+04
   34             4200       7.626e+04
   35             4320       7.626e+04
   36             4440       7.626e+04
   37             4560       7.626e+04
   38             4680       7.626e+04
   39             4800       7.626e+04
   40             4920       7.626e+04
   41             5040       7.626e+04
   42             5160       7.626e+04
   43             5280       7.626e+04
   44             5400       7.626e+04
   45             5520       7.626e+04
   46             5640       7.626e+04
   47             5760       7.626e+04
   48             5880       7.626e+04
   49             6000       7.626e+04
   50             6120       7.626e+04
   51             6240       7.626e+04
   52             6360       7.626e+04
   53             6480       7.626e+04
   54             6600       7.626e+04
   55             6720       7.626e+04
   56             6840       7.626e+04
   57             6960       7.626e+04
   58             7080       7.626e+04
   59             7200       7.626e+04
   60             7320       7.626e+04
   61             7440       7.626e+04
   62             7560       7.626e+04
   63             7680       7.626e+04
   64             7800       7.626e+04
